State,DocumentType,Title,SourceUrl,Content,
AZ,Registration Renewal,Emissions,https://www.myazcar.com/,"### Emissions Testing Is Essential

The quality of the air we breathe is more important than ever. All Arizonans deserve the cleanest possible air today, for our future -- especially those with compromised health. We all can make a positive difference by the choices we make and actions we take everyday. Vehicle emissions contribute to increased levels of air pollution like man-made ozone and particulate matter (smoke and dust). And, for the millions of Arizonans who choose to own and operate motor vehicles, each plays an important role in maintaining and improving Arizona's air quality by simply testing vehicle emissions to ensure they meet health-based standards.

### Why Emissions Testing is Required

Vehicle emissions testing is required in major metropolitan areas that are not meeting federal air quality standards for ozone and other pollutants. In Arizona, testing is required in the Phoenix and Tucson metropolitan areas, where ozone and particulate matter pollution are a problem.

### Why is ozone and particulate matter pollution a problem?

Ozone and particulate matter pollution exacerbates breathing-related illnesses such as bronchitis, emphysema, asthma, chronic obstructive pulmonary disorder (COPD), and other respiratory or pulmonary issues. The science linking ozone and particulate matter pollution to negative health effects is extensive:

- PHYS ORG: One Million Premature Deaths Linked to Ozone Air Pollution | https://phys.org/news/2017-08-million-premature-deaths-linked-ozone.html
- Harvard Study: Exposure to air pollution and COVID-19 mortality in the United States | https://projects.iq.harvard.edu/files/covid-pm/files/pm_and_covid_mortality.pdf
- Martin-Luther University Halle-Wittenberg (Germany): Assessing nitrogen dioxide (NO2) levels as a contributing factor to coronavirus (COVID-19) fatality | https://www.sciencedirect.com/science/article/pii/S0048969720321215#!
- American Lung Association: Ozone | https://www.lung.org/clean-air/outdoors/what-makes-air-unhealthy/ozone
- EPA: Health Effects of Ozone Pollution | https://www.epa.gov/ground-level-ozone-pollution/health-effects-ozone-pollution
- CDC: Particulate Matter Pollution | https://www.cdc.gov/air/particulate_matter.html

### What to expect when you come to test your vehicle emissions:
- Pull your car into the station, put it in park and apply your emergency brake. If your vehicle is a manual transmission, ensure you put it in neutral
- Choose where you are most comfortable waiting for test to be completed: the waiting booth, waiting area or outside
- While you are waiting the inspector performs the On-Board Diagnostic (OBD) test -- without getting into your vehicle -- the inspector reaches in to connect the OBD cord to the data link connector (DLC)
- Once that is complete, you will be asked to return to your vehicle to turn the ignition key to the accessory position, so the inspector can verify the check engine light is functioning
- You will then start your vehicle, allowing the inspector to observe that the check engine light turns off from a safe distance
- After the OBD test is complete, you will turn off the vehicle and exit to the waiting area of your choice (waiting booth, waiting area or outside)
- When payment is due, simply inserts your credit card and remove whenprocessing is complete
- You then return to your vehicle, and a new vehicle information report will be delivered to you.",
AZ,Registration Renewal,Late Fees,https://azdot.gov/mvd/services/vehicle-services/vehicle-registration,"To avoid a penalty fee your online or phone renewal must be completed on or before the due date or your mail-in payment must be postmarked by the due date. The initial fee for a late registration is $8, plus an additional $4 for each month it's overdue.

Registration renewal reminders are mailed or emailed to the owner of record 45 days prior to expiration. You are responsible for renewing your registration by the due date whether or not you receive this courtesy notice. Your expiration date is printed on your registration document.

If your vehicle fails the initial or any subsequent emissions test, you will not be charged a penalty fee for late registration renewal if the original test was before the registration expiration date and the registration renewal is completed within 30 days of the original test.

A $25 fee is charged for any check returned by a financial institution and may result in cancellation of vehicle registrations and driving privileges.",
AZ,Registration Renewal,Renew By Mail,https://azdot.gov/mvd/services/vehicle-services/vehicle-registration,"Mail (Check or money order payable to Motor Vehicle Division. Write license plate number on the check.)

Arizona Department of Transportation
Motor Vehicle Division
PO Box 29008
Phoenix, AZ 85038

A $25 fee is charged for any check returned by a financial institution and may result in cancellation of vehicle registrations and driving privileges.",
AZ,Registration Renewal,Early Renewal,https://azdot.gov/mvd/services/vehicle-services/vehicle-registration,"Early renewal is based on an emissions test requirement.

- If an emissions test is not required, you may renew up to six months before the expiration.
- If an emissions test is required, you may renew your registration up to 90 days before the expiration by showing your current registration at the test station.",
AZ,Registration Renewal,Trailer Registration,https://azdot.gov/mvd/services/vehicle-services/vehicle-registration/trailer-registration,"Trailers registrations are determined by whether or not the trailer will be used for commercial purposes, and on the weight of the trailer (both as certified by the owner). A trailer may be eligible for a regular registration (one, two or five year) or a permanent registration.

Permanent registration will be issued for the following:

- Noncommercial trailers with a declared gross vehicle weight (GVW) of 10,000 lbs or less (one-time $125 registration fee, reduced to $75 if converting a current commercial trailer registration to noncommercial)
- Trailers with a declared GVW of more than 10,000 lbs (one-time $800 registration fee). If previously registered in another state and the model year of the trailer is less than six years old (fee is reduced to $500), if at least six years old (fee is reduced to $195).

Permanent registration is a one-time fee and a PERM license plate tab is issued. There is no annual billing for vehicle license tax or registration fees. If the trailer has a special plate, only the fee for the plate will be billed annually.

The following are not eligible for permanent registration:

- Travel trailer or camper/tent trailer
- Commercial trailer with declared GVW of 10,000 pounds or less
- Historic trailer that is designed for commercial use, but is not used for commercial purposes 

Note: Additional fees may apply at the time of registration.",
AZ,Registration Renewal,Vehicle Permits,https://azdot.gov/mvd/services/vehicle-services/vehicle-registration/vehicle-permits,"
### 3-Day Trip Permit

A Restricted Use 3-Day Permit allows a person to legally operate an unregistered vehicle on Arizona roadways from the vehicle's present location to the following destinations: 

- Emissions testing
- Vehicle inspection
- Application for title or registration
- Vehicle repair to comply with emissions or inspection

You may obtain a Restricted Use 3-Day Permit at https://azmvdnow.gov/home or any http://www.azdot.gov/mvd-hours-and-locations or https://adot.maps.arcgis.com/apps/View/index.html?appid=c8157fc5cef549a6b33833fad1e7d7c1. The fee is $1. Note: Vehicles that have never been titled or registered in Arizona may not be able to purchase a 3-Day Trip permit online.

### 30-Day General Use Permit

A 30-Day General Use Permit allows an unregistered vehicle to operate on the roadway for a 30 day period, and can be issued only once in a 12 month period. It has no movement restrictions or residency requirements. The permit is available azmvdnow.gov or may be purchased at any MVD or Authorized Third Party office. The fee is $15.

### 90-Day Non-Resident (Drive Out) Permit

A 90-Day Nonresident (Drive Out) Permit allows a person to drive their newly purchased vehicle out of Arizona for registration in another state. You will be required to show your out-of-state identification and the dealer invoice or assigned title. The fee is $15 and the permit can be purchased from any MVD or Authorized Third Party office.

### 90-Day Resident Permit

An Arizona resident who does not have complete documentation for issuance of a title or registration may apply for a 90-Day Permit. This registration allows you to operate the vehicle while obtaining additional documentation. When complete documentation is submitted, vehicle license taxes will be calculated, for the full year, back to the date of issuance of the 90-Day Permit. It may be purchased at any MVD or Authorized Third Party office. The fee is $15.

### Temporary Registration Plate (TRP)

A licensed dealer will issue a TRP when a vehicle is purchased. It will allow the vehicle to be operated for any purpose. The TRP is valid for 45 days.",
AZ,Vehicle Title & Registration,Vehicle Title and Registration,https://azdot.gov/mvd/services/vehicle-services/vehicle-title-and-registration,"When you buy a vehicle, Arizona law requires that you apply for a title within 15 days of purchase and take the application to an MVD Office or Authorized Third Party provider to complete the process. Electronic title transfer is available.

Most vehicles may be registered for one, two, or five years, depending on emissions requirements. Permanent registration may be available for some trailers.

If your vehicle was registered in another state and you want to operate it in Arizona, you must register it as soon as you become an Arizona resident. 

**References:**
- https://apps.azdot.gov/files/mvd/mvd-forms-lib/96-0236.pdf
- https://azdot.gov/node/4811
- https://azdot.gov/motor-vehicles/vehicle-services/title-and-registration/etitle-transfer
- https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/trailer-registration",
TN,Vehicle Title & Registration,Surrendering a License Plate,https://www.tn.gov/revenue/title-and-registration/license-plates.html,"Tennessee license plates follow the owner, not the vehicle, and can be transferred to a different vehicle for a $1 fee.  Transfers as well as exchanges of specialty and personalized plates for regular passenger plates can be done at your county clerk’s office.

**Immediately destroy a plate when:**

- you no longer meet its eligibility criteria and the vehicle registration is not expired; or
- it is mutilated or effaced and no longer meets requirements of the law.

**Surrender a specialty or personalized plate at renewal when:**

- you no longer meet its eligibility criteria; or
- you no longer want a specialty or personalized plate.",
TN,Vehicle Title & Registration,Disabled Plates & Placards,https://www.tn.gov/revenue/title-and-registration/license-plates/disabled-plates-placards.html,"Disabled driver or passenger license plates, placards and decals are available to Tennessee residents who:

- use a wheelchair.
- walk with difficulty or uncertainty.
- have 20/200 vision or worse with corrective lenses.
- are the parent or legal guardian of a person who is permanently disabled and incapable of operating a motor vehicle.

An agency can obtain a disabled placard if it:

- transports disabled clients;
- uses the placard only when transporting disabled clients; and
- secures just one placard per vehicle owned and operated for the purpose of transporting disabled clients.

Temporary disabled placards are:

- available to those with a temporary disabling condition.
- valid for up to six months.
- reissued once, if necessary.

A disabled driver decal is available to people with a permanent disability who currently own or purchase a specialty plate.
",
TN,Vehicle Title & Registration,Fees & Application Process,https://www.tn.gov/revenue/title-and-registration/license-plates/disabled-plates-placards/fee-application-process.html,"- **Disabled plate:** $26.50 annually (no charge if you are a person using a wheelchair)
- **Permanent disability placard:** $26.50 + $3 renewal every two years (no charge if vehicle registration in applicant’s name)
- **Temporary disability placard:** $10
- **Replacement placard:** $2
- **Disabled driver decal:** no charge

To apply for a disabled person license plate/placard/decal:

1. Complete the Application for Disabled Person License Plate, Placard and/or Decal (applications are also available from your county clerk).
2. Provide certification of disability from either:
    - medical doctor licensed to practice medicine; 
    - physician’s assistant or nurse practitioner acting in conjunction with a written protocol developed jointly by a physician;
    - licensed physical therapist; or
    - Christian Science Practitioner listed in the Christian Science Journal
3. Submit the two forms to your local county clerk.",
